Type,Tipas,Kaina,Source,,
Fixed warehouse construction costs (EUR),Pastov?s sand?lio statybos kaštai (EUR),"308,525.05",Real estate websites for land prices and http://warehousematch.com for construction prices,,
Variable warehouse construction costs (EUR / ton),Kintantys sand?lio statybos kaštai (EUR / tona),539.91,Real estate websites for land prices and http://warehousematch.com for construction prices,,
Fixed warehouse management costs (EUR / month,Postov?s sand?lio valdymo kaštai (EUR / m?nesis),"8,513.26","Specialist survey, invoice analysis",,
Variable warehouse managements (EUR / ton / day),Kintantys sand?lio valdymo kaštai (EUR / tona / diena),6.31,"Specialist survey, invoice analysis",,
Truck delivery costs (EUR / ton / km),Sunkvežimio pristatymo kaštai (EUR / tona / km),125.41,https://www.bts.gov/content/average-freight-revenue-ton-mile,,
Railway delivery costs (EUR / ton / km),Geležinkelio pristatymo kaštai (EUR / tona / km),3.95,https://www.bts.gov/content/average-freight-revenue-ton-mile,,
Truck emission level (CO2 / km),Sunkvežimio emisijos lygis (CO2/tonne-km),0.062,http://www.cefic.org/Industry-support/Responsible-Care-tools-SMEs/5-Environment/Guidelines-for-managing-CO2-emissions-from-transport-operations/,,
Railway emission level (CO2 / km),Traukinio emisijos lygis (CO2/tonne-km),0.022,http://www.cefic.org/Industry-support/Responsible-Care-tools-SMEs/5-Environment/Guidelines-for-managing-CO2-emissions-from-transport-operations/,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
